Region,Council,Swim site,Date,Time,Water temperature (°C),Latitude,Longitude
Sydney City,Randwick City Council,Maroubra Beach,12/07/2024,07:51:00,15,-33.948896000,151.257459000
Sydney City,Waverley Council,Tamarama Beach,12/07/2024,06:51:00,15,-33.900805000,151.270734000
Sydney City,Waverley Council,Bronte Beach,12/07/2024,07:02:00,15,-33.903087000,151.268790000
Sydney City,Randwick City Council,Gordons Bay (East),12/07/2024,07:20:00,15,-33.915646000,151.264558000
Sydney City,Randwick City Council,South Maroubra Beach,12/07/2024,07:57:00,15,-33.951378000,151.257322000
Sydney City,Randwick City Council,South Maroubra Rockpool,12/07/2024,08:04:00,15,-33.953515000,151.258009000
Sydney City,Randwick City Council,Malabar Beach,12/07/2024,08:20:00,15,-33.964360000,151.252247000
Sydney City,Randwick City Council,Clovelly Beach,12/07/2024,07:11:00,15,-33.914578000,151.267659000
Sydney City,Waverley Council,Bondi Beach,12/07/2024,06:38:00,15,-33.891157000,151.278267000
Sydney City,Randwick City Council,Little Bay Beach,12/07/2024,08:35:00,15,-33.979882000,151.251417000
Sydney City,Randwick City Council,Coogee Beach,12/07/2024,07:33:00,15,-33.920760000,151.258170000
Sydney City,Randwick City Council,Little Bay Beach,08/07/2024,07:52:00,16,-33.979882000,151.251417000
Sydney City,Waverley Council,Bronte Beach,08/07/2024,06:18:00,16,-33.903087000,151.268790000
Sydney City,Waverley Council,Bronte Beach,08/07/2024,06:06:00,16,-33.903087000,151.268790000
Sydney City,Randwick City Council,Malabar Beach,08/07/2024,07:37:00,16,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Beach,08/07/2024,07:22:00,16,-33.951378000,151.257322000
Sydney City,Randwick City Council,Gordons Bay (East),08/07/2024,06:39:00,16,-33.915646000,151.264558000
Sydney City,Waverley Council,Bondi Beach,08/07/2024,05:52:00,16,-33.891157000,151.278267000
Sydney City,Randwick City Council,Maroubra Beach,08/07/2024,07:07:00,16,-33.948896000,151.257459000
Sydney City,Randwick City Council,Coogee Beach,08/07/2024,06:50:00,16,-33.920760000,151.258170000
Sydney City,Randwick City Council,South Maroubra Rockpool,08/07/2024,07:21:00,16,-33.953515000,151.258009000
Sydney City,Randwick City Council,Clovelly Beach,08/07/2024,06:30:00,16,-33.914578000,151.267659000
Sydney City,Randwick City Council,South Maroubra Beach,01/07/2024,09:03:00,16,-33.951378000,151.257322000
Sydney City,Randwick City Council,Coogee Beach,01/07/2024,08:29:00,15,-33.920760000,151.258170000
Sydney City,Randwick City Council,Gordons Bay (East),01/07/2024,08:17:00,15,-33.915646000,151.264558000
Sydney City,Randwick City Council,Malabar Beach,01/07/2024,09:24:00,15,-33.964360000,151.252247000
Sydney City,Randwick City Council,Maroubra Beach,01/07/2024,08:48:00,15,-33.948896000,151.257459000
Sydney City,Waverley Council,Bondi Beach,01/07/2024,07:24:00,14,-33.891157000,151.278267000
Sydney City,Waverley Council,Bronte Beach,01/07/2024,07:54:00,15,-33.903087000,151.268790000
Sydney City,Waverley Council,Tamarama Beach,01/07/2024,07:41:00,15,-33.900805000,151.270734000
Sydney City,Randwick City Council,South Maroubra Rockpool,01/07/2024,09:07:00,15,-33.953515000,151.258009000
Sydney City,Randwick City Council,Clovelly Beach,01/07/2024,08:08:00,15,-33.914578000,151.267659000
Sydney City,Randwick City Council,Little Bay Beach,01/07/2024,09:41:00,16,-33.979882000,151.251417000
Sydney City,Waverley Council,Bondi Beach,27/06/2024,06:20:00,16,-33.891157000,151.278267000
Sydney City,Randwick City Council,South Maroubra Beach,27/06/2024,07:47:00,16,-33.951378000,151.257322000
Sydney City,Randwick City Council,Gordons Bay (East),27/06/2024,07:03:00,16,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,27/06/2024,06:33:00,16,-33.900805000,151.270734000
Sydney City,Randwick City Council,Malabar Beach,27/06/2024,08:02:00,15,-33.964360000,151.252247000
Sydney City,Randwick City Council,Little Bay Beach,27/06/2024,08:19:00,15,-33.979882000,151.251417000
Sydney City,Randwick City Council,Clovelly Beach,27/06/2024,06:54:00,16,-33.914578000,151.267659000
Sydney City,Randwick City Council,Coogee Beach,27/06/2024,07:14:00,16,-33.920760000,151.258170000
